"gene_name","module","color","kME_blue","kME_turquoise","kME_grey","kME_yellow","kME_brown","kME_green"
"ACER2","blue","blue",0.390171295151213,-0.256156075788115,0.132377692988402,-0.0881769141413172,0.0350539897138223,-0.0235056406118897
"SLC24A2","brown","brown",0.103909955091771,-0.0286233342771125,0.0348585385463225,-0.0372506038683788,0.359593742293376,0.0578463115821675
"MLLT3","blue","blue",0.325680512368513,-0.160679135374452,0.164815073458795,-0.011901505459616,0.116094784130877,-0.00726401945639651
"FOCAD","blue","blue",0.436556088960239,-0.222930222251162,0.198389983306962,-0.0843765589023052,0.0507549258375001,-0.000587605253883232
"KLHL9","yellow","yellow",-0.118459015442228,0.161446683504256,-0.00692618003232152,0.181539240611286,-0.0136641468568699,0.00175586960879008
"ELAVL2","yellow","yellow",-0.111952631302951,0.236482490406342,0.0300788153664506,0.422899757924619,-0.118134474455136,0.0150852407794278
"CAAP1","grey","grey",0.12590060382772,-0.0711513301850368,0.043616582219681,-0.0296830165088544,0.037224519836323,0.00249492993625033
"PLAA","grey","grey",0.0571954640748077,0.0126313908818407,0.0601159000523922,0.0408837280081558,0.0325355013839214,0.0143246203874715
"IFT74","grey","grey",0.095376801374404,-0.00801301162305936,0.0687670940723161,0.0259832457236302,0.0510918240890202,0.0239206032521114
"MOB3B","brown","brown",0.313508574921072,-0.225596433381178,0.114871570378619,-0.118925315829702,0.305342651717462,-0.00652109292828626
"C9orf72","grey","grey",0.0203861081192656,0.0716120139535795,0.0591536098498639,0.0572313948819295,0.0192048005331926,0.0287837222348501
"ACO1","turquoise","turquoise",0.0496289145157321,0.0367107410197506,0.0517765078722822,0.0628032654674875,0.0335523632104425,-0.00854809672922055
"DDX58","grey","grey",0.111057442422274,-0.0252889339280462,0.0840564900768521,-0.0119439577220326,0.0388231751173975,0.0356510941284285
"TOPORS","grey","grey",-0.00230106857168046,0.0210828184978331,0.0105054425031316,0.0494779299155228,0.0209720879983087,0.027408244647105
"NDUFB6","turquoise","turquoise",-0.0504117056768773,0.142863453241075,0.0387532864605587,0.0604792969910926,0.00623293919252411,0.056287362342984
"APTX","grey","grey",0.162422481164594,-0.0638028659642508,0.0871369215824169,-0.0410251117862581,0.023913577716021,-0.00418821535398035
"DNAJA1","turquoise","turquoise",-0.354911237543492,0.468483750720703,-0.0413165658599663,0.234978081613764,-0.0854832741484012,0.0291961072921843
"SMU1","turquoise","turquoise",-0.0311300307055492,0.103456565503052,0.0439843071275616,0.0602761042512181,0.0263310144142749,0.0461417846887064
"B4GALT1","grey","grey",0.0975205510812307,-0.0750442326493425,0.166741043735874,-0.0267518635724593,0.0288914958357204,0.0252678439381161
"BAG1","turquoise","turquoise",-0.0889430550090272,0.108252744670677,0.0100204881305604,0.0107483437713005,-0.00872593815888113,0.0319700775562671
"CHMP5","turquoise","turquoise",-0.133836415394872,0.211899637189914,0.011713300091217,0.103725767046691,-0.0231198751652682,0.0291704460432425
"NFX1","grey","grey",0.261910576040771,-0.169930182427882,0.126595744675287,-0.0634448993298679,0.118907223269937,-0.00118149795078066
"UBE2R2","grey","grey",0.169900079675238,-0.0743668775404425,0.0788941705567978,0.00783530454730574,0.0996628570145055,0.0315417531841605
"UBAP2","grey","grey",0.212901706457429,-0.125820255430559,0.136071899898383,-0.0408831462230439,0.0280786645782014,-0.0142849328720581
"DCAF12","grey","grey",0.0404952830324365,0.00710225158303923,0.0578932338794619,0.0172283529170711,0.0261738710328644,0.0633878528455512
"UBAP1","grey","grey",0.141377166466247,-0.042614148692753,0.112709974230762,0.0159827628141779,0.00868988077355542,-0.0287364989603818
"NUDT2","grey","grey",-0.0105728618931366,0.0486498272405959,0.0340592226138989,0.030020250718638,0.0401235323071581,0.0378488182759152
"MYORG","grey","grey",-0.0399248310930586,0.0648695667049585,-0.00162727818737243,0.0538341354193998,0.0158008605548251,0.0217217001586569
"C9orf24","blue","blue",0.312485214349437,-0.180137961892576,0.12028047590922,-0.0726721692040883,0.0481352286669143,0.00823934468540669
"FAM219A","turquoise","turquoise",-0.0081644409036543,0.140036690474303,0.0581339752406021,0.150319851764941,-0.0470449343339916,0.0452181499538437
"ENHO","grey","grey",-0.0710207999456737,0.133403980994753,0.0183938792611577,0.0712553956766825,-0.0192151723840917,0.0172250280027244
"CNTFR","grey","grey",-0.0115063328971172,0.0203041239284266,-0.00928025945887622,0.047034549780223,-0.0034639783692153,0.0290648699795685
"DCTN3","turquoise","turquoise",-0.15824755952207,0.24619282629937,0.00707810076129632,0.0964528592077946,-0.0279657712228907,0.0674704088988121
"SIGMAR1","turquoise","turquoise",-0.0905785915237725,0.179621501146398,-0.000633714634774642,0.162663686184657,-0.0324986918784349,-0.00426198338010971
"IL11RA","grey","grey",0.0430626422870232,-0.02048645980358,0.0250667544597499,0.00137977692765673,0.038845513435434,0.0105925157023662
"VCP","turquoise","turquoise",-0.302184284133349,0.422608304271828,-0.0238123030312186,0.287598906734203,-0.0853671817852174,0.00656670293446595
"STOML2","turquoise","turquoise",-0.130165937676496,0.211482254688354,-0.0181988867986233,0.09284159460868,-0.024841532406148,0.0273959235156455
"FAM214B","grey","grey",-0.00973820056695476,0.0786536269612388,0.0457179608090363,0.101575903045967,-0.00929412472833516,0.0316361471205078
"UNC13B","blue","blue",0.267635954158735,-0.155000800548545,0.126123878730129,-0.0508855673702836,0.114190730852679,0.0300243269791167
"RUSC2","grey","grey",0.0240427665225334,0.0839007032710558,0.0518966553099823,0.105486421960081,0.00123920583195335,0.0231361675315624
"TESK1","grey","grey",-0.0473131165232866,0.101172621538941,0.0165054716703206,0.0999296568704045,-0.0071510397454337,0.0269521504143535
"CCDC107","turquoise","turquoise",-0.0917153287709384,0.153033592333085,0.0160641293191226,0.0791079413698943,-0.0102508645863774,0.0291971471810882
"TLN1","grey","grey",-0.000983854903976062,0.0145611868989182,0.0764767689987587,-0.0107505383943225,0.0614134772051788,0.0024952190254972
"CREB3","turquoise","turquoise",-0.0974735060725681,0.156041847917943,0.00864894157645867,0.0808769413886088,-0.0246032739423007,0.0145267479801852
"GBA2","turquoise","turquoise",-0.070198724078058,0.126578806312668,0.0119056130453597,0.0699304244171417,-0.00247281730194445,-0.00650615429282232
"RGP1","grey","grey",0.0345124268610347,0.00301033022574335,0.0606227003288931,0.0201930084393582,0.0333108833926839,0.00618285538375702
