"gene_name","module","color","kME_yellow","kME_blue","kME_grey","kME_brown","kME_turquoise","kME_red","kME_green"
"Pdpk1","turquoise","turquoise",-0.015221118959763,-0.0225340330755359,0.0420528859724597,0.0057101522685346,0.0516582526182025,0.0267017141471804,-0.0233046578346414
"Amdhd2","turquoise","turquoise",0.00572221675224605,-0.0261959296473584,0.00255136921897762,0.0271892041525909,0.0275545719697473,0.00158221910049757,0.00890900961862105
"Gm43796","grey","grey",0.014677980872503,-0.00345443466556335,-0.0109884627624581,0.0764088543023367,-0.00639164748282777,-0.00448412127091378,-0.0112616854993281
"Tbc1d24","grey","grey",-0.0138128898923042,0.025267122854304,0.086415616971831,-0.0224442493378694,0.02150970240817,0.0467075047515823,-0.00789635234350546
"Tedc2","grey","grey",0.0135593137572233,0.0218420439814643,0.00271985438963034,0.0266945255644815,-0.0286906990830718,0.00467074860030499,-0.00352677097489883
"Abca17","grey","grey",0.0376258646470392,0.0725882819707426,0.0749232901790748,-0.0123023981876847,-0.051636066042008,0.044398377743124,0.00559612216265925
"Abca3","grey","grey",-0.0161307398239414,0.0545812452803089,0.113709443161159,0.0150332019321359,-0.00113486663612761,0.0430029482322104,0.0266636437698583
"Rnps1","turquoise","turquoise",-0.0352056129521731,-0.0616041311381615,0.00955134841999311,0.0394702070308082,0.0719594341706746,-0.0197386320068338,-0.00507406781015902
"Eci1","blue","blue",-0.0646370703584988,0.0967212241547496,0.0627674300442304,0.0347021895337688,-0.0817847431103123,-0.00085632577877666,0.0580906372515286
"Dnase1l2","grey","grey",0.00144219601023602,-0.00293218139817105,0.000317274884386486,0.00693598937972798,-0.00166569703952429,-0.00672526618172428,-0.000649727080432338
"E4f1","grey","grey",-0.00982757914952917,0.0848153833715161,0.139262758696473,0.0162162219881487,-0.0300517094833238,0.0561577095475034,0.0176526522750992
"Pgp","brown","brown",-0.0201900459276748,0.0710514866759489,0.0233647835814173,0.233928568706691,-0.0900213277452795,0.0208671954686937,-0.0252950667934382
"Mlst8","grey","grey",-0.0155589820159468,-0.00955752126743896,0.0138286590610029,0.0509695935742388,0.011134592344547,-0.00136907517701154,-0.0154741851095915
"Caskin1","grey","grey",-0.00194734188031403,0.0337210841087952,0.0650452753575597,0.0294574860549089,-0.0104536175031667,0.0331850480520232,0.00289103945295983
"Traf7","grey","grey",0.00697983052795098,0.0343949985866425,0.0439366340847515,0.0580466168500432,-0.0248190876331312,0.0107284011809795,0.0141441036040249
"Rab26","grey","grey",0.0710485335030034,-0.0432123409071317,-0.0472433159901202,0.0418737178865209,0.0101521682240402,-0.0461330653658743,0.0247019757240764
"Rab26os","grey","grey",0.00192349833962769,0.0129338363158914,0.0236499634192443,0.0374066269700931,-0.00548293815299956,-0.00693797502598111,0.0184880450363409
"Pkd1","turquoise","turquoise",0.0316925251192172,-0.00101815082660901,0.10762678495878,-0.031756384236622,0.0654128350946868,0.0703148508964949,-0.0100849427287002
"Tsc2","grey","grey",-0.00507438237644238,0.00671512100045018,0.0371430623344494,0.0385506492419987,0.00946456511069883,0.0208370318509501,-0.0206063464066395
"Slc9a3r2","grey","grey",-0.00503267447192523,0.0490482187245373,0.0465147909288528,0.0547134386372471,-0.0412923422228127,0.0206214248887961,-0.00546434405193083
"Zfp598","grey","grey",-0.00528420230140134,0.0809146031961839,0.0645142273508788,0.0415673659101399,-0.064423170952258,0.0391668369805108,-0.00272019105400412
"Syngr3","brown","brown",0.0104624967826077,0.0394984900976447,0.00765323580458238,0.134950413218968,-0.0603066154111951,0.00946792626786101,-0.0276402075747555
"Gfer","brown","brown",-0.0035671241504615,0.0239394810398397,0.00259947162943213,0.0827657566574226,-0.0343454463966325,-0.00512081110173423,-0.000912089409856018
"Noxo1","grey","grey",0.00157800128750499,-0.00219749090241202,0.0108780161287688,0.0191634375628886,0.0122950553431006,0.0134448201637854,-0.019269573950121
"Tbl3","grey","grey",-0.0270811892192277,0.0129289951473818,-0.000421967962941846,0.0261682617488957,-0.00990363269978978,0.0181187904593611,-0.0208139233528975
"Rps2","brown","brown",-0.0315745241507487,-0.0291114539569449,-0.0294796278406646,0.126882655939728,-0.00350467714294483,-0.0352291472317683,-0.024420830277287
"Snhg9","grey","grey",-0.00499810732197971,-0.00507476588873041,-0.00851418046751902,0.0352013271195128,-0.00559918729854083,-0.0285672318818475,0.0188101814996829
"Ndufb10","brown","brown",-0.0340976493240031,0.0222366479327399,0.00229623268303388,0.313331243249218,-0.050493714635333,-0.0122534856799212,-0.0240370805887002
"Msrb1","grey","grey",-0.0146587668801205,0.0417573141453437,0.0220064007122237,0.101618698659904,-0.0451371434015638,0.0145860441991972,-0.0130952522778449
"Hagh","brown","brown",-0.00620701331320684,0.0503381883828488,0.0330289343751934,0.126273308831385,-0.0561880895182152,0.00317833935384673,-0.000137010875946764
"Fahd1","grey","grey",-0.00793532689471707,0.0495017969500667,0.0475038255003474,0.0751655345280508,-0.0413766828475126,0.0326085041264034,-0.0139562695452315
"Nubp2","brown","brown",-0.0143261842643277,0.0193005496877868,0.0044902550420603,0.0837899657799945,-0.0282480416190998,0.007019787647462,-0.0126169464570136
"Spsb3","grey","grey",-0.045725604649894,0.0514189231808332,0.0581390751458986,0.0451739123776399,-0.0338241417288003,0.0258549457042365,0.0112704399508827
